"date","owned_tweets_about_games","owned_retweets_about_games","owned_favorites_about_games","owned_replies_about_games","owned_tweets_total","owned_retweets_total","owned_favorites_total","owned_replies_total","paid_volume","paid_retweets","paid_favorites","paid_replies","negative_comments","neutral_comments","positive_comments","ups_comments","mean_sentiment_comments","earned_volume_comments","news_volume","earnings","press_release_volume","trailer","launch","teaser","convention","expansions_dlc","week","year","EAprice","EAtrading_volume","launch_period","positive_pct","negative_pct"
2017-10-05,14,4283,11441,842,46,5254,16131,1433,2,6,45,0,32,31,65,396,0.16702890625,128,2,0,0,0,0,0,0,0,40,2017,119.519997,1438900,"Post-Launch",0.5078125,0.25
2017-10-06,13,3532,16453,1355,59,9877,24201,1900,0,0,0,0,68,67,129,1363,0.166457575757576,264,0,0,0,0,0,0,0,0,40,2017,120.089996,1912800,"Post-Launch",0.488636363636364,0.257575757575758
2017-10-07,8,516,3362,256,22,1120,7291,446,1,48,508,23,133,89,219,2544,0.106107256235828,441,2,0,0,1,0,0,0,0,40,2017,NA,NA,"Post-Launch",0.496598639455782,0.301587301587302
2017-10-08,9,1210,7712,705,14,1281,8465,888,2,46,369,9,196,150,305,4978,0.103116743471582,651,0,0,0,0,0,0,0,0,41,2017,NA,NA,"Post-Launch",0.468509984639017,0.301075268817204
2017-10-09,10,6495,18239,1350,46,8374,27897,1922,0,0,0,0,259,167,434,6427,0.142294069767442,860,5,0,0,0,0,0,0,0,41,2017,118.620003,1516000,"Post-Launch",0.504651162790698,0.301162790697674
2017-10-10,8,1851,8324,388,56,3793,16200,1256,0,0,0,0,222,96,374,3043,0.142068885672938,691,2,0,1,0,0,0,0,0,41,2017,117.82,1558200,"Post-Launch",0.541244573082489,0.321273516642547
2017-10-11,10,5098,21768,1438,26,6500,30269,2462,0,0,0,0,26,11,54,653,0.212003296703297,91,4,0,0,0,0,0,0,0,41,2017,116.050003,3152800,"Post-Launch",0.593406593406593,0.285714285714286
2017-10-12,17,3928,19263,1218,77,6732,37485,2728,2,95,305,23,212,153,343,5164,0.116850564971751,708,1,0,0,1,0,0,0,0,41,2017,117.139999,2046200,"Post-Launch",0.484463276836158,0.299435028248588
2017-10-13,10,1828,6723,333,30,4229,20881,2713,1,0,2,1,331,219,549,8204,0.127966911090742,1091,0,0,0,0,0,0,0,0,41,2017,118.620003,1931200,"Post-Launch",0.5032080659945,0.303391384051329
2017-10-14,4,511,3058,149,17,1714,8893,457,0,0,0,0,103,81,243,853,0.236297149643705,421,0,0,0,0,0,0,0,0,41,2017,NA,NA,"Post-Launch",0.577197149643705,0.244655581947743
2017-10-15,4,611,2787,201,19,1049,4967,895,2,151,1392,9,49,35,189,1288,0.371977573529412,272,0,0,0,0,0,0,0,0,42,2017,NA,NA,"Post-Launch",0.69485294117647,0.180147058823529
2017-10-16,4,189,707,77,21,1610,6597,430,0,0,0,0,29,29,64,278,0.175560655737705,122,3,0,0,0,0,0,0,0,42,2017,117.480003,2601800,"Post-Launch",0.524590163934426,0.237704918032787
2017-10-17,12,752,3135,517,44,2083,7490,837,1,34,200,27,242,220,475,4480,0.161702486486486,925,11,0,0,0,0,0,0,0,42,2017,115.980003,3130300,"Post-Launch",0.513513513513513,0.261621621621622
