"","date","owned_tweets_about_games","owned_retweets_about_games","owned_favorites_about_games","owned_replies_about_games","owned_tweets_total","owned_retweets_total","owned_favorites_total","owned_replies_total","paid_volume","paid_retweets","paid_favorites","paid_replies","negative_comments","neutral_comments","positive_comments","ups_comments","mean_sentiment_comments","earned_volume_comments","news_volume","earnings","press_release_volume","trailer","launch","teaser","convention","expansions_dlc","week","year","EAprice","EAtrading_volume"
"97",2017-04-07,1,48,278,16,90,2175,10250,1357,0,0,0,0,531,380,730,18388,0.0810473491773309,1641,2,0,0,0,0,0,0,0,14,2017,88.730003,1740800
"98",2017-04-08,0,0,0,0,20,1060,5699,535,0,0,0,0,74,49,105,457,0.102587280701754,228,0,0,0,0,0,0,0,0,14,2017,NA,NA
"99",2017-04-09,0,0,0,0,39,5639,11642,1256,0,0,0,0,30,39,71,414,0.173842142857143,140,0,0,0,0,0,0,0,0,15,2017,NA,NA
"100",2017-04-10,1,135,893,79,43,1867,8684,760,0,0,0,0,43,30,66,896,0.128831654676259,139,0,0,0,0,0,0,0,0,15,2017,88.739998,1424000
"101",2017-04-11,1,422,1099,75,54,2098,9110,785,0,0,0,0,117,97,195,1310,0.118940342298289,409,1,0,0,0,0,0,0,0,15,2017,89.68,1763900
"102",2017-04-12,3,3322,7917,602,34,11396,33103,2688,0,0,0,0,92,66,156,1676,0.159419426751592,314,0,0,0,0,0,0,0,0,15,2017,89.949997,1909100
"103",2017-04-13,6,2200,6814,310,49,5185,24184,2631,2,2,272,13,37,21,50,141,0.0829740740740741,108,2,0,0,0,0,1,0,0,15,2017,89.019997,2966200
"104",2017-04-14,3,1751,5425,390,28,2971,13133,1502,0,0,0,0,66,62,124,1199,0.141827380952381,252,0,0,0,0,0,0,0,0,15,2017,NA,NA
"105",2017-04-15,15,21106,45872,1668,73,22770,53700,2549,1,12,350,4,97,72,134,1464,0.0834564356435644,303,3,0,1,1,0,0,0,0,15,2017,NA,NA
"106",2017-04-16,4,1145,5293,177,37,1761,8582,407,0,0,0,0,709,455,817,27988,0.0427037859666835,1981,0,0,0,0,0,0,0,0,16,2017,NA,NA
"107",2017-04-17,6,7793,6634,317,39,9317,14638,1255,0,0,0,0,63,69,123,536,0.156701176470588,255,0,0,0,0,0,0,0,0,16,2017,89.209999,2160100
"108",2017-04-18,4,846,4176,117,51,2166,10729,676,0,0,0,0,49,48,100,11581,0.174583756345178,197,1,0,1,0,0,0,0,0,16,2017,89.199997,1393100
